Name,Calories,Carbohydrates,Protein,Fats,Free Sugar,Fibre,Sodium,Calcium,Iron,Vitamin C
Mango and chilis pickles - Mother's receip,84.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Max Protein - Rite it’s,1.0,14.8,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Kamarkat - 100 gm,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сырок глазурованный ваниль - Ферма,1.0,29.3,11.7,26.1,29.0,1.1,0.0,0.0,0.0,0.0
Ibugesic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salted Peanuts - Panjwani,2.0,28.26,0.0,47.78,7.26,19.26,17.98,0.0,0.0,0.0
Special suji rusk - Veer jee,497.0,1.4,2.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Frooti Mango drink,352.0,15.8,0.0,0.0,15.8,0.4,0.0,0.0,0.0,0.0
Chives Kimchi - 80Million Kimchi,149.0,3.571,3.571,0.0,0.0,3.571,0.0,0.0,0.0,0.0
Masala  oats - Soffola,556.0,23.8,2.8,3.0,2.4,2.4,0.0,0.0,0.0,0.0
Kai Murruku - Anna bytes,2.0,56.667,10.0,30.0,1.667,0.333,0.0,0.0,0.0,0.0
Insight Banana Loose Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parle G - 55g,1.0,77.3,6.9,13.0,25.5,0.0,0.74,0.0,0.0,0.0
malt vinegar - heinz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yummy - Anmol - 35g,696.0,74.47,6.27,16.89,29.6,0.0,0.535,0.0,0.0,0.0
White Toast - Innlay Bakery,1.0,83.333,11.905,2.381,91.667,0.0,0.0,0.0,0.0,0.0
Shrimp,333.0,0.0,19.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strawberry milk - SHATTO,1.0,46.0,12.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0
Spaghetti - Lubella,1.0,70.0,13.0,1.4,4.2,3.0,0.0,0.0,0.0,0.0
Chicken tikka - Sardar,711.0,6.4,15.27,9.28,0.0,0.0,0.0,0.0,0.0,0.0
Taka tak - 100g,2.0,50.0,7.0,35.0,0.5,0.0,0.0,0.0,0.0,0.0
Brut - 283g,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eggs - Mae’s Eggs,598.0,0.0,12.698,9.524,0.0,0.0,0.0,0.0,0.0,0.0
Bread - iD,1.0,0.8,0.0,2.9,1.5,0.0,55.2,0.0,0.0,0.0
Dark chocolate Muesli - Yoga bar,1.0,67.0,13.3,13.3,6.7,9.4,0.0,0.0,0.0,0.0
Super muesli - Yoga Bar,1.0,39.8,17.4,21.6,0.0,15.1,0.0,0.0,0.0,0.0
Cuajada hondureña - La cremosita,293.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Zesty Orange - Santé,129.0,7.75,0.3,0.2,7.4,0.05,0.0,0.0,0.0,0.0
Super Spoon - Kri Kri,590.0,20.0,15.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
Muesli+ - Yoga Bar,1.0,70.0,13.0,9.5,4.8,7.5,0.0,0.0,0.0,0.0
राम बंधू पापड मसाला - 100g,205.0,9.48,1.82,0.37,0.0,8.17,0.0,0.0,0.0,0.0
Saffola Oats,1.0,66.8,12.6,5.3,0.0,10.4,0.0,0.0,0.0,0.0
Dal makhani - Kohinoor,348.0,13.9,2.9,3.2,0.2,4.8,0.0,0.0,0.0,0.0
Fit mix - Jewel farmer,2.0,34.7,15.0,40.7,12.6,12.8,0.0,0.0,0.0,0.0
Protien bar - Yoga bar,1.0,19.2,20.0,14.7,5.6,10.6,0.0,0.0,0.0,0.0
Milk Chocolate Chickpea Snacks - Lebby,2.0,52.381,11.905,26.19,0.0,7.143,0.0,0.0,0.0,0.0
Vegan Cocktail samosa - Haldiram’s minute khana,1.0,40.0,5.4,17.4,1.0,10.0,0.0,0.0,0.0,0.0
Krombachers Fassbrause Zitrone - Krombacher,121.0,7.1,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0
Chat at matar - Bingo,1.0,59.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0
sanju,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0
Salted Caramel - Häagen-Dazs,1.0,28.1,4.0,16.3,25.3,0.0,0.0,0.0,0.0,0.0
RandomTest - TestBrand,13.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Chocobar chocoholic - The brooklyn creamery,753.0,22.182,3.818,12.182,3.091,3.273,0.0,0.0,0.0,0.0
Litchi - Real,234.0,14.0,0.1,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Cuppa Rice - Daawat,1.0,64.7,13.1,10.0,0.5,0.0,0.0,0.0,0.0,0.0
Mango - B Natural,444.0,15.0,0.1,0.0,3.4,1.0,0.0,0.0,0.0,0.0
Protein - Food strong,1.0,15.455,72.121,3.333,10.606,0.0,0.0,0.0,0.0,0.0
Nissin,1.0,66.0,9.0,17.0,6.0,9.0,0.0,0.0,0.0,0.0
Plix  fit and slim smoothie chocolate,595.0,14.6,15.13,2.6,5.2,3.7,0.0,0.0,0.0,0.0
Sei White Tea - Teamonk,8.0,0.03,0.43,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Yummy Guava - Paper boat,234.0,14.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
Chicken breast - Zorabian,477.0,0.0,25.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Granola - Fit flex,393.0,16.8,1.9,1.1,3.7,1.3,0.0,0.0,0.0,0.0
Horlicks classic malt - Hindustan Unilever Ltd - 500g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High protein paneer - Punjab Sindh,669.0,4.5,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8901010000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bullet coffee - Mad coffee,8.0,50.0,20.0,220.0,0.0,20.0,0.0,0.0,0.0,0.0
Oreo Original chocolate sandwich biscuits -,2.0,70.3,5.5,19.7,37.8,0.0,1.0,0.0,0.0,0.0
rahul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protein powder - ASITIS,1.0,3.733,93.333,4.667,0.0,2.8,0.0,0.0,0.0,0.0
Oreo Original chocolate sandwich biscuits - 46.3g,2.0,71.9,5.2,19.6,38.8,0.0,1.0,0.0,0.0,0.0
ranishaco 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banana chips - Kozhi,2.0,65.7,2.5,27.3,0.0,7.9,0.0,0.0,0.0,0.0
Plain Yogurt - Parag,243.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole truth protein bar,2.0,36.538,23.846,28.462,28.462,4.808,0.0,0.0,0.0,0.0
Imitation Snow crab,438.0,11.39,9.88,2.18,3.95,0.0,0.0,0.0,0.0,0.0
Atea - 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foxtail  millet - Manna,444.0,33.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Organic Mojito,234.0,14.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0
Banana chips Peri-Peri - Ol’tymes,602.0,15.3,0.7,8.9,5.9,0.88,0.0,0.0,0.0,0.0
Tim tim walnut - kashmir walnut group - 250g,2.0,11.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moov - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Himalaya since 1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oats - Turbo,7.8,0.0,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0
Naan  Nature - Haldiram’s,1.0,46.1,6.6,4.0,2.3,0.2,0.0,0.0,0.0,0.0
CHOCOS - 10,8.0,2.0,17.0,3.9,4.0,1.0,1.0,0.0,0.0,0.0
Muscle Gainer,929.0,24.0,25.5,2.5,0.0,5.0,0.0,0.0,0.0,0.0
Vegan Plant Protein Powder - Be Bodywise,381.0,1.96,20.44,0.17,0.0,0.0,0.0,0.0,0.0,0.0
Choco - Delhaize,9.0,57.0,5.7,31.0,55.0,3.9,0.0,0.0,0.0,0.0
Boules de Sésame sucré - CHITTI,1.0,36.8,5.3,21.1,36.2,3.93,0.0,0.0,0.0,0.0
Mustard oil - Nature Active,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Nacho chips sweet chilli - Cornitos nacho chips,2.0,64.286,7.143,25.0,0.0,7.143,0.0,0.0,0.0,0.0
Dairy Milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lait de soja - Bon Déjeuner,351.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Lait de soja - Bon Déjeuner,251.0,10.72,2.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0
Hot&Spicy Samosa - Haldiram,1.0,35.286,5.143,16.0,0.0,2.143,0.0,0.0,0.0,0.0
Tops Mango Pickle - 1 Kg,122.0,20.0,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Nestle Resource High Protein - 1Kg,372.0,41.7,45.0,2.8,0.1,5.0,0.525,0.0,0.0,0.0
Women Horlicks - Horlics - 400g,359.0,68.2,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabruary Bourn Vita - 1 Kg,393.0,85.2,7.0,1.8,32.0,3.6,0.0,0.0,0.0,0.0
Women Horlicks - Horlics - 400g,359.0,68.2,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Veer - 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL 365 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hing - Ramdev,1.0,75.61,8.4,4.46,0.0,6.1,0.0,0.0,0.0,0.0
Malabar parota - 10 Nos,10.1,0.2,0.0,7.02,0.0,0.0,0.0,0.0,0.0,0.0
